YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1981,-7.26,0.32,0.85,8.25,13.38,18.84,21.93,20.89,15.84,8.82,4.48,-1.85,-3.61,7.49,20.55,9.71,8.54
1982,-8.43,-5.06,0.07,5.13,15.93,16.57,21.91,18.15,16.27,11.24,5.89,2.83,-5.11,7.04,18.88,11.13,7.99
1983,-3.00,-1.57,2.41,6.24,11.96,19.58,23.26,21.60,17.39,10.76,4.68,-5.41,-0.58,6.87,21.48,10.94,9.68
1984,-6.66,0.80,-2.91,8.48,11.39,19.65,21.08,21.06,14.53,11.58,3.69,1.79,-3.76,5.65,20.60,9.93,8.11
1985,-6.26,-4.22,1.80,9.51,15.07,16.83,20.73,20.49,17.65,11.16,5.31,-3.79,-2.90,8.79,19.35,11.37,9.15
1986,-3.83,-4.39,2.11,8.56,15.16,17.65,21.52,19.70,16.34,10.27,2.98,0.03,-4.00,8.61,19.62,9.86,8.52
1987,-3.50,-4.09,2.95,9.78,15.62,20.28,23.22,20.29,17.23,8.60,5.60,1.05,-2.52,9.45,21.26,10.48,9.67
1988,-3.24,-4.48,1.57,7.61,15.13,17.55,23.58,22.24,16.52,8.05,5.88,-1.32,-2.22,8.10,21.12,10.15,9.29
1989,-0.61,-5.41,0.32,5.27,12.60,18.64,21.70,20.02,15.78,10.63,3.07,-8.31,-2.45,6.06,20.12,9.83,8.39
1990,0.58,-1.73,2.50,8.90,12.46,19.04,21.62,21.09,16.24,11.18,6.08,1.12,-3.15,7.95,20.58,11.17,9.14
1991,-3.57,-0.99,2.99,10.02,17.69,20.37,21.95,21.43,16.44,11.46,3.84,-0.63,-1.15,10.23,21.25,10.58,10.23
1992,-2.98,-2.63,-0.48,6.31,13.80,17.22,19.09,18.82,16.21,8.59,4.30,-0.32,-2.08,6.54,18.38,9.70,8.13
1993,-1.62,-6.53,-0.95,8.25,13.64,18.64,22.75,21.95,14.99,9.32,4.00,-1.59,-2.82,6.98,21.11,9.44,8.68
1994,-8.45,-5.34,0.53,8.74,12.35,20.30,22.73,19.75,16.35,10.99,7.06,0.87,-5.13,7.21,20.93,11.47,8.62
1995,-1.51,-5.86,3.00,5.45,13.55,20.77,22.36,22.51,15.31,12.08,2.19,999.90,-2.17,7.33,21.88,9.86,9.23
1996,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1997,999.90,-0.86,0.78,5.92,10.53,19.48,20.53,19.52,16.02,10.45,3.32,0.08,999.90,5.74,19.84,9.93,7.90
1998,-0.30,1.36,2.69,8.44,17.30,18.66,21.07,21.96,17.80,11.63,5.78,2.02,0.38,9.48,20.56,11.74,10.54
1999,-4.53,-0.38,-0.34,7.96,15.57,20.42,23.70,20.16,18.14,10.28,6.80,0.21,-0.96,7.73,21.43,11.74,9.98
2000,-4.45,-0.99,4.62,6.97,14.35,18.47,19.99,20.17,16.40,11.47,3.97,-5.28,-1.74,8.65,19.54,10.61,9.26
2001,-2.57,-1.89,-0.29,8.68,15.12,19.65,21.21,22.96,17.24,11.85,8.47,2.35,-3.25,7.84,21.27,12.52,9.60
2002,-0.05,-0.24,1.41,8.08,11.20,19.62,23.17,22.15,19.58,9.78,4.31,-1.82,0.69,6.90,21.65,11.22,10.11
2003,-7.03,-6.03,1.04,6.32,13.20,17.69,21.09,21.75,17.29,9.52,6.34,0.80,-4.96,6.85,20.18,11.05,8.28
2004,-7.90,-3.42,2.99,7.94,14.75,17.72,20.75,19.77,18.62,11.05,5.91,-1.11,-3.51,8.56,19.41,11.86,9.08
2005,-4.36,-3.51,-1.28,8.43,12.13,22.31,24.04,22.82,19.08,11.66,6.44,-2.54,-2.99,6.43,23.06,12.39,9.72
2006,1.76,-2.13,1.99,9.06,15.71,20.34,23.34,21.12,16.03,9.64,7.19,3.06,-0.97,8.92,21.60,10.95,10.13
2007,-1.58,-7.29,1.83,5.98,15.30,20.94,21.13,22.59,19.12,15.07,4.09,-1.30,-1.94,7.70,21.55,12.76,10.02
2008,-1.09,-3.64,-0.08,10.67,12.03,20.10,22.07,20.44,18.05,9.97,4.53,-1.28,-2.01,7.54,20.87,10.85,9.31
2009,-7.34,-2.48,2.07,8.33,14.15,18.20,19.55,21.35,17.02,9.37,6.85,-1.71,-3.70,8.18,19.70,11.08,8.82
2010,-4.71,-3.94,3.55,10.75,15.83,19.62,23.20,22.23,17.15,10.66,5.41,-3.08,-3.45,10.04,21.68,11.07,9.84
2011,-5.80,-3.94,0.10,7.75,14.99,19.48,24.16,22.00,18.75,11.36,8.21,2.09,-4.27,7.61,21.88,12.77,9.50
2012,-0.79,0.02,8.72,7.49,17.83,20.26,24.32,22.20,17.51,11.40,4.22,2.55,0.44,11.35,22.26,11.04,11.27
2013,-0.92,-3.15,0.63,8.15,16.48,18.90,22.66,20.73,16.48,12.49,3.32,-2.03,-0.51,8.42,20.76,10.76,9.86
2014,-6.47,-6.52,-2.70,7.80,14.40,20.57,20.47,20.72,17.48,12.04,3.41,1.04,-5.01,6.50,20.59,10.98,8.26
2015,-6.19,-11.47,-1.35,7.81,17.18,18.80,21.80,21.05,19.75,10.90,8.05,5.75,-5.54,7.88,20.55,12.90,8.95
2016,-2.61,-1.06,4.54,6.34,15.04,19.89,23.49,24.34,19.54,12.59,7.39,-0.31,0.69,8.64,22.57,13.17,11.27
2017,-0.36,1.79,0.74,10.44,13.54,19.73,21.60,20.51,18.70,14.00,4.51,-3.41,0.37,8.24,20.61,12.40,10.41
2018,-4.11,0.14,-0.16,4.14,18.44,19.69,23.64,22.79,19.69,10.39,2.14,0.83,-2.46,7.47,22.04,10.74,9.45
2019,-4.83,-2.27,-0.12,7.28,13.13,18.58,23.43,21.43,18.58,11.43,2.28,0.37,-2.09,6.76,21.15,10.76,9.15
2020,0.17,-1.83,4.72,5.92,12.87,19.07,24.91,22.57,17.55,10.57,7.62,0.46,-0.43,7.84,22.18,11.91,10.38
2021,-1.89,-4.39,4.21,8.56,13.56,21.36,21.26,23.81,18.71,14.81,5.26,3.06,-1.94,8.78,22.14,12.93,10.48
2022,-5.94,-2.34,3.06,7.06,15.86,19.26,22.41,22.66,17.41,11.36,6.26,0.07,-1.74,8.66,21.44,11.68,10.01
2023,0.50,0.08,1.80,9.71,13.70,19.40,22.70,20.50,18.55,12.70,4.65,4.10,0.22,8.40,20.87,11.97,10.36
2024,-1.40,1.60,4.90,10.05,17.60,21.20,23.44,999.90,999.90,999.90,999.90,999.90,1.43,10.85,22.50,999.90,12.28
